estacion,parada,linea,ascensor,escaleras,accesible
['Ópera', 1, 13, 1, 1, 1]
['La Fortuna', 7, 11, 1, 0, 1]
['Carabanchel Alto', 5, 11, 1, 0, 1]
['La Peseta', 6, 11, 1, 1, 1]
['San Francisco', 4, 11, 1, 0, 1]
['Príncipe Pío', 2, 13, 0, 1, 1]
['Abrantes', 2, 11, 1, 0, 1]
['Pan Bendito', 3, 11, 1, 0, 1]
['Guzmán el Bueno', 23, 7, 1, 0, 1]
['Plaza Elíptica', 1, 11, 1, 1, 1]
['Alto de Extremadura', 27, 6, 0, 1, 0]
['Lucero', 28, 6, 1, 0, 1]
['Puerta del Ángel', 26, 6, 0, 1, 0]
['Pinar de Chamartín', 23, 4, 0, 0, 1]
['Cuatro Caminos', 20, 2, 1, 1, 1]
['Canal', 19, 2, 1, 1, 1]
['Quevedo', 18, 2, 0, 0, 0]
['San Bernardo', 17, 2, 0, 0, 0]
['Valdecarros', 33, 1, 0, 0, 1]
['Las Suertes', 32, 1, 0, 0, 1]
['La Gavia', 31, 1, 0, 0, 1]
['Congosto', 30, 1, 0, 0, 1]
['Villa de Vallecas', 29, 1, 1, 1, 1]
['Miguel Hernández', 27, 1, 1, 1, 1]
[' Sierra de Guadalupe', 28, 1, 1, 0, 1]
['Buenos Aires', 25, 1, 0, 1, 0]
['Alto del Arenal', 26, 1, 0, 0, 1]
['Portazgo', 24, 1, 0, 1, 0]
['Nueva Numancia', 23, 1, 0, 1, 0]
['Puente de Vallecas', 22, 1, 0, 0, 0]
['Menéndez Pelayo', 20, 1, 0, 0, 0]
['Pacífico', 21, 1, 0, 1, 1]
['Atocha Renfe', 19, 1, 0, 1, 1]
['Tirso de Molina', 16, 1, 0, 0, 0]
['Estación del Arte', 18, 1, 0, 0, 0]
['Antón Martín', 17, 1, 0, 0, 0]
['Gran Vía', 14, 1, 0, 1, 0]
['Sol', 15, 1, 0, 0, 1]
['Iglesia', 11, 1, 1, 0, 1]
['Bilbao', 12, 1, 0, 0, 0]
['Ríos Rosas', 10, 1, 0, 0, 0]
['Alvarado', 8, 1, 0, 0, 0]
['Tribunal', 13, 1, 0, 1, 0]
['Cuatro Caminos', 9, 1, 1, 1, 1]
['Estrecho', 7, 1, 0, 0, 0]
['Tetuán', 6, 1, 0, 0, 0]
['Valdeacederas', 5, 1, 0, 0, 0]
['Bambú', 2, 1, 1, 1, 1]
['Chamartín', 3, 1, 1, 1, 1]
['Plaza de Castilla', 4, 1, 0, 1, 1]
['Moncloa', 18, 3, 1, 1, 1]
['Pinar de Chamartín', 1, 1, 0, 0, 1]
['Argüelles', 17, 3, 1, 0, 1]
['Ventura Rodríguez', 16, 3, 1, 0, 1]
['Callao', 14, 3, 1, 0, 1]
['Plaza de España', 15, 3, 1, 0, 1]
['Sol', 13, 3, 0, 0, 1]
['Lavapiés', 12, 3, 1, 0, 1]
['Embajadores', 11, 3, 1, 0, 1]
['Palos de la Frontera', 10, 3, 1, 0, 1]
['Almendrales', 7, 3, 1, 0, 1]
['Ciudad de los Ángeles', 4, 3, 1, 1, 1]
['Delicias', 9, 3, 1, 0, 1]
['Hospital 12 de Octubre', 6, 3, 1, 1, 1]
['Legazpi', 8, 3, 1, 1, 1]
['San Fermín - Orcasur', 5, 3, 1, 1, 1]
['San Cristóbal', 2, 3, 1, 1, 1]
['Villaverde Bajo - Cruce', 3, 3, 1, 1, 1]
['Noviciado', 16, 2, 0, 1, 0]
['Ópera', 14, 2, 1, 1, 1]
[' Sol', 13, 2, 0, 0, 1]
['Santo Domingo', 15, 2, 0, 0, 0]
['Banco de España', 11, 2, 0, 0, 0]
['Sevilla', 12, 2, 0, 0, 0]
['Villaverde Alto', 1, 3, 1, 1, 1]
['Retiro', 10, 2, 0, 0, 0]
['Príncipe de Vergara', 9, 2, 0, 1, 0]
['Manuel Becerra', 7, 2, 0, 1, 0]
['Goya', 8, 2, 1, 0, 1]
['Ventas', 6, 2, 0, 0, 0]
['La Almudena', 4, 2, 1, 1, 1]
['La Elipa', 5, 2, 1, 1, 1]
['Avenida de Guadalajara', 2, 2, 1, 1, 1]
['Alsacia', 3, 2, 1, 1, 1]
['Empalme', 30, 5, 0, 0, 1]
['Campamento', 31, 5, 0, 0, 0]
['Aluche', 29, 5, 0, 0, 1]
[' Eugenia de Montijo', 28, 5, 1, 1, 1]
['Carabanchel', 27, 5, 0, 0, 0]
['Las Rosas', 1, 2, 1, 1, 1]
['Vista Alegre', 26, 5, 0, 0, 0]
[' Casa de Campo', 32, 5, 1, 1, 1]
['Urgel', 24, 5, 0, 0, 0]
['Ópera', 18, 5, 1, 1, 1]
['Puerta de Toledo', 20, 5, 0, 0, 0]
['Acacias', 21, 5, 0, 0, 0]
['Oporto', 25, 5, 0, 1, 0]
['Marqués de Vadillo', 23, 5, 0, 0, 0]
['La Latina', 19, 5, 0, 1, 0]
[' Pirámides', 22, 5, 1, 1, 1]
['Chueca', 15, 5, 0, 1, 0]
['Callao', 17, 5, 1, 0, 1]
['Núñez de Balboa', 12, 5, 0, 1, 0]
['Alonso Martínez', 14, 5, 0, 1, 0]
['Gran Vía', 16, 5, 0, 1, 0]
['Ventas', 10, 5, 0, 0, 0]
['Rubén Darío', 13, 5, 0, 0, 0]
['Diego de León', 11, 5, 0, 1, 0]
['Pueblo Nuevo', 7, 5, 1, 0, 1]
['El Carmen', 9, 5, 0, 1, 0]
['Quintana', 8, 5, 0, 0, 0]
['Ciudad Lineal', 6, 5, 0, 0, 0]
['Suanzes', 5, 5, 0, 0, 0]
['Torre Arias', 4, 5, 0, 0, 0]
['Canillejas', 3, 5, 0, 1, 0]
['El Capricho', 2, 5, 0, 0, 1]
['Alameda de Osuna', 1, 5, 0, 0, 1]
['Manoteras', 22, 4, 1, 1, 1]
['Parque de Santa María', 20, 4, 1, 1, 1]
['Hortaleza', 21, 4, 1, 1, 1]
['San Lorenzo', 19, 4, 1, 1, 1]
['Mar de Cristal', 18, 4, 1, 1, 1]
['Arturo Soria', 15, 4, 0, 1, 0]
['Esperanza', 16, 4, 0, 1, 0]
['Canillas', 17, 4, 1, 1, 1]
['Alfonso XIII', 13, 4, 0, 1, 0]
['Avenida de la Paz', 14, 4, 0, 1, 0]
['Prosperidad', 12, 4, 0, 1, 0]
['Avenida de América', 11, 4, 0, 1, 0]
['Goya', 8, 4, 1, 0, 1]
['Diego de León', 10, 4, 0, 1, 0]
['Lista', 9, 4, 0, 0, 0]
['Velázquez', 7, 4, 0, 0, 0]
['Serrano', 6, 4, 0, 0, 0]
['Bilbao', 3, 4, 0, 0, 0]
['Alonso Martínez', 4, 4, 0, 1, 0]
['Colón', 5, 4, 0, 0, 0]
