estacion,parada,linea,ascensor,escaleras,accesible,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,tipoTransporte
PINAR DE CHAMARTIN,1,1,0,0, 1,est_4_263,263.0,PINAR DE CHAMARTIN,N/A,40.480140000000006,-3.6668,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
BAMBU,2,1,1,1, 1,est_4_262,262.0,BAMBU,N/A,40.476820000000004,-3.67637,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
CHAMARTIN,3,1,1,1, 1,est_90_25,25.0,CHAMARTIN,Calle de Agustín de Foxá 40,40.4721,-3.68269,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
PLAZA DE CASTILLA,4,1,0,1, 1,est_90_21,21.0,PLAZA DE CASTILLA,Paseo de la Castellana 189,40.4669,-3.6892,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
VALDEACEDERAS,5,1,0,0, 0,est_4_2,2.0,VALDEACEDERAS,N/A,40.464420000000004,-3.69506,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
TETUAN,6,1,0,0, 0,est_4_3,3.0,TETUAN,N/A,40.46055,-3.69825,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
ESTRECHO,7,1,0,0, 0,est_4_4,4.0,ESTRECHO,N/A,40.45429,-3.7030199999999995,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
ALVARADO,8,1,0,0, 0,est_4_5,5.0,ALVARADO,N/A,40.45033,-3.7033099999999997,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
CUATRO CAMINOS,9,1,1,1, 1,est_4_6,6.0,CUATRO CAMINOS,N/A,40.44697,-3.7039699999999995,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
RIOS ROSAS,10,1,0,0, 0,est_4_7,7.0,RIOS ROSAS,N/A,40.44198,-3.7013300000000005,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
IGLESIA,11,1,1,0, 1,est_4_8,8.0,IGLESIA,N/A,40.43492,-3.69898,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,2.0,metro
BILBAO,12,1,0,0, 0,est_4_9,9.0,BILBAO,N/A,40.42906,-3.7021800000000002,A,http://www.crtm.es,1.0,N/A,Europe/Madrid,0.0,metro
